,Year,City,Type of structure,Type of unit,Rent Price
124421,2023,Thunder Bay,Apartment structures of six units and over,One bedroom units,1086.0
124422,2023,Thunder Bay,Apartment structures of six units and over,Two bedroom units,1352.0
124423,2023,Thunder Bay,Apartment structures of six units and over,Three bedroom units,1738.0
124424,2023,Tillsonburg,Row and apartment structures of three units and over,Bachelor units,897.0
124425,2023,Tillsonburg,Row and apartment structures of three units and over,One bedroom units,986.0
124426,2023,Tillsonburg,Row and apartment structures of three units and over,Two bedroom units,1088.0
124432,2023,Tillsonburg,Apartment structures of three units and over,Bachelor units,897.0
124433,2023,Tillsonburg,Apartment structures of three units and over,One bedroom units,986.0
124434,2023,Tillsonburg,Apartment structures of three units and over,Two bedroom units,1088.0
124436,2023,Tillsonburg,Apartment structures of six units and over,Bachelor units,984.0
124437,2023,Tillsonburg,Apartment structures of six units and over,One bedroom units,1027.0
124438,2023,Tillsonburg,Apartment structures of six units and over,Two bedroom units,1091.0
124440,2023,Timmins,Row and apartment structures of three units and over,Bachelor units,828.0
124441,2023,Timmins,Row and apartment structures of three units and over,One bedroom units,1035.0
124442,2023,Timmins,Row and apartment structures of three units and over,Two bedroom units,1228.0
124443,2023,Timmins,Row and apartment structures of three units and over,Three bedroom units,1324.0
124446,2023,Timmins,Row structures of three units and over,Two bedroom units,1095.0
124448,2023,Timmins,Apartment structures of three units and over,Bachelor units,828.0
124449,2023,Timmins,Apartment structures of three units and over,One bedroom units,1039.0
124450,2023,Timmins,Apartment structures of three units and over,Two bedroom units,1243.0
124451,2023,Timmins,Apartment structures of three units and over,Three bedroom units,1194.0
124452,2023,Timmins,Apartment structures of six units and over,Bachelor units,966.0
124453,2023,Timmins,Apartment structures of six units and over,One bedroom units,1162.0
124454,2023,Timmins,Apartment structures of six units and over,Two bedroom units,1300.0
124455,2023,Timmins,Apartment structures of six units and over,Three bedroom units,1230.0
124456,2023,Toronto,Row and apartment structures of three units and over,Bachelor units,1414.0
124457,2023,Toronto,Row and apartment structures of three units and over,One bedroom units,1691.0
124458,2023,Toronto,Row and apartment structures of three units and over,Two bedroom units,1958.0
124459,2023,Toronto,Row and apartment structures of three units and over,Three bedroom units,2168.0
124461,2023,Toronto,Row structures of three units and over,One bedroom units,1885.0
124462,2023,Toronto,Row structures of three units and over,Two bedroom units,1722.0
124463,2023,Toronto,Row structures of three units and over,Three bedroom units,2061.0
124464,2023,Toronto,Apartment structures of three units and over,Bachelor units,1414.0
124465,2023,Toronto,Apartment structures of three units and over,One bedroom units,1691.0
124466,2023,Toronto,Apartment structures of three units and over,Two bedroom units,1961.0
124467,2023,Toronto,Apartment structures of three units and over,Three bedroom units,2191.0
124468,2023,Toronto,Apartment structures of six units and over,Bachelor units,1415.0
124469,2023,Toronto,Apartment structures of six units and over,One bedroom units,1691.0
124470,2023,Toronto,Apartment structures of six units and over,Two bedroom units,1971.0
124471,2023,Toronto,Apartment structures of six units and over,Three bedroom units,2203.0
124520,2023,West Nipissing,Row and apartment structures of three units and over,Bachelor units,631.0
124521,2023,West Nipissing,Row and apartment structures of three units and over,One bedroom units,770.0
124522,2023,West Nipissing,Row and apartment structures of three units and over,Two bedroom units,958.0
124528,2023,West Nipissing,Apartment structures of three units and over,Bachelor units,631.0
124529,2023,West Nipissing,Apartment structures of three units and over,One bedroom units,770.0
124530,2023,West Nipissing,Apartment structures of three units and over,Two bedroom units,902.0
124533,2023,West Nipissing,Apartment structures of six units and over,One bedroom units,724.0
124534,2023,West Nipissing,Apartment structures of six units and over,Two bedroom units,849.0
124536,2023,Windsor,Row and apartment structures of three units and over,Bachelor units,856.0
124537,2023,Windsor,Row and apartment structures of three units and over,One bedroom units,1055.0
124538,2023,Windsor,Row and apartment structures of three units and over,Two bedroom units,1246.0
124539,2023,Windsor,Row and apartment structures of three units and over,Three bedroom units,1334.0
124542,2023,Windsor,Row structures of three units and over,Two bedroom units,1080.0
124543,2023,Windsor,Row structures of three units and over,Three bedroom units,1327.0
124544,2023,Windsor,Apartment structures of three units and over,Bachelor units,856.0
124545,2023,Windsor,Apartment structures of three units and over,One bedroom units,1055.0
124546,2023,Windsor,Apartment structures of three units and over,Two bedroom units,1253.0
124547,2023,Windsor,Apartment structures of three units and over,Three bedroom units,1341.0
124548,2023,Windsor,Apartment structures of six units and over,Bachelor units,872.0
124549,2023,Windsor,Apartment structures of six units and over,One bedroom units,1068.0
124550,2023,Windsor,Apartment structures of six units and over,Two bedroom units,1285.0
124551,2023,Windsor,Apartment structures of six units and over,Three bedroom units,1392.0
124553,2023,Woodstock,Row and apartment structures of three units and over,One bedroom units,1249.0
124554,2023,Woodstock,Row and apartment structures of three units and over,Two bedroom units,1446.0
124555,2023,Woodstock,Row and apartment structures of three units and over,Three bedroom units,1644.0
124558,2023,Woodstock,Row structures of three units and over,Two bedroom units,1042.0
124559,2023,Woodstock,Row structures of three units and over,Three bedroom units,1352.0
124561,2023,Woodstock,Apartment structures of three units and over,One bedroom units,1249.0
124562,2023,Woodstock,Apartment structures of three units and over,Two bedroom units,1490.0
124563,2023,Woodstock,Apartment structures of three units and over,Three bedroom units,1989.0
124565,2023,Woodstock,Apartment structures of six units and over,One bedroom units,1328.0
124566,2023,Woodstock,Apartment structures of six units and over,Two bedroom units,1534.0
124567,2023,Woodstock,Apartment structures of six units and over,Three bedroom units,1989.0
126216,2024,Ottawa-Gatineau,Row and apartment structures of three units and over,Bachelor units,983.0
126217,2024,Ottawa-Gatineau,Row and apartment structures of three units and over,One bedroom units,1284.0
126218,2024,Ottawa-Gatineau,Row and apartment structures of three units and over,Two bedroom units,1350.0
126219,2024,Ottawa-Gatineau,Row and apartment structures of three units and over,Three bedroom units,1332.0
126222,2024,Ottawa-Gatineau,Row structures of three units and over,Two bedroom units,900.0
126223,2024,Ottawa-Gatineau,Row structures of three units and over,Three bedroom units,1022.0
126224,2024,Ottawa-Gatineau,Apartment structures of three units and over,Bachelor units,983.0
126225,2024,Ottawa-Gatineau,Apartment structures of three units and over,One bedroom units,1284.0
126226,2024,Ottawa-Gatineau,Apartment structures of three units and over,Two bedroom units,1353.0
126227,2024,Ottawa-Gatineau,Apartment structures of three units and over,Three bedroom units,1347.0
126228,2024,Ottawa-Gatineau,Apartment structures of six units and over,Bachelor units,986.0
126229,2024,Ottawa-Gatineau,Apartment structures of six units and over,One bedroom units,1314.0
126230,2024,Ottawa-Gatineau,Apartment structures of six units and over,Two bedroom units,1402.0
126231,2024,Ottawa-Gatineau,Apartment structures of six units and over,Three bedroom units,1433.0
126249,2024,Hawkesbury,Row and apartment structures of three units and over,One bedroom units,1078.0
126250,2024,Hawkesbury,Row and apartment structures of three units and over,Two bedroom units,1007.0
126257,2024,Hawkesbury,Apartment structures of three units and over,One bedroom units,1078.0
126258,2024,Hawkesbury,Apartment structures of three units and over,Two bedroom units,1007.0
126261,2024,Hawkesbury,Apartment structures of six units and over,One bedroom units,1214.0
126262,2024,Hawkesbury,Apartment structures of six units and over,Two bedroom units,1150.0
126792,2024,Barrie,Row and apartment structures of three units and over,Bachelor units,1037.0
126793,2024,Barrie,Row and apartment structures of three units and over,One bedroom units,1559.0
126794,2024,Barrie,Row and apartment structures of three units and over,Two bedroom units,1703.0
126795,2024,Barrie,Row and apartment structures of three units and over,Three bedroom units,1838.0
126798,2024,Barrie,Row structures of three units and over,Two bedroom units,1650.0
126799,2024,Barrie,Row structures of three units and over,Three bedroom units,1840.0
126800,2024,Barrie,Apartment structures of three units and over,Bachelor units,1037.0
126801,2024,Barrie,Apartment structures of three units and over,One bedroom units,1560.0
126802,2024,Barrie,Apartment structures of three units and over,Two bedroom units,1706.0
126803,2024,Barrie,Apartment structures of three units and over,Three bedroom units,1836.0
126804,2024,Barrie,Apartment structures of six units and over,Bachelor units,1038.0
126805,2024,Barrie,Apartment structures of six units and over,One bedroom units,1593.0
126806,2024,Barrie,Apartment structures of six units and over,Two bedroom units,1718.0
126807,2024,Barrie,Apartment structures of six units and over,Three bedroom units,1889.0
126825,2024,Bracebridge,Row and apartment structures of three units and over,One bedroom units,1200.0
126826,2024,Bracebridge,Row and apartment structures of three units and over,Two bedroom units,1429.0
126833,2024,Bracebridge,Apartment structures of three units and over,One bedroom units,1200.0
126834,2024,Bracebridge,Apartment structures of three units and over,Two bedroom units,1429.0
126837,2024,Bracebridge,Apartment structures of six units and over,One bedroom units,1223.0
126838,2024,Bracebridge,Apartment structures of six units and over,Two bedroom units,1443.0
126840,2024,Brantford,Row and apartment structures of three units and over,Bachelor units,1084.0
126841,2024,Brantford,Row and apartment structures of three units and over,One bedroom units,1353.0
126842,2024,Brantford,Row and apartment structures of three units and over,Two bedroom units,1442.0
126843,2024,Brantford,Row and apartment structures of three units and over,Three bedroom units,1481.0
126846,2024,Brantford,Row structures of three units and over,Two bedroom units,1496.0
126847,2024,Brantford,Row structures of three units and over,Three bedroom units,1582.0
126848,2024,Brantford,Apartment structures of three units and over,Bachelor units,1084.0
126849,2024,Brantford,Apartment structures of three units and over,One bedroom units,1353.0
126850,2024,Brantford,Apartment structures of three units and over,Two bedroom units,1438.0
126851,2024,Brantford,Apartment structures of three units and over,Three bedroom units,1405.0
126852,2024,Brantford,Apartment structures of six units and over,Bachelor units,1084.0
126853,2024,Brantford,Apartment structures of six units and over,One bedroom units,1370.0
126854,2024,Brantford,Apartment structures of six units and over,Two bedroom units,1515.0
126855,2024,Brantford,Apartment structures of six units and over,Three bedroom units,1596.0
126858,2024,Brighton,Row and apartment structures of three units and over,Two bedroom units,1220.0
126866,2024,Brighton,Apartment structures of three units and over,Two bedroom units,1220.0
126873,2024,Brock,Row and apartment structures of three units and over,One bedroom units,1069.0
126874,2024,Brock,Row and apartment structures of three units and over,Two bedroom units,1050.0
126881,2024,Brock,Apartment structures of three units and over,One bedroom units,1069.0
126882,2024,Brock,Apartment structures of three units and over,Two bedroom units,1050.0
126885,2024,Brock,Apartment structures of six units and over,One bedroom units,1069.0
126886,2024,Brock,Apartment structures of six units and over,Two bedroom units,1050.0
126888,2024,Brockville,Row and apartment structures of three units and over,Bachelor units,903.0
126889,2024,Brockville,Row and apartment structures of three units and over,One bedroom units,1010.0
126890,2024,Brockville,Row and apartment structures of three units and over,Two bedroom units,1235.0
126891,2024,Brockville,Row and apartment structures of three units and over,Three bedroom units,1144.0
126896,2024,Brockville,Apartment structures of three units and over,Bachelor units,903.0
126897,2024,Brockville,Apartment structures of three units and over,One bedroom units,1009.0
126898,2024,Brockville,Apartment structures of three units and over,Two bedroom units,1231.0
126899,2024,Brockville,Apartment structures of three units and over,Three bedroom units,1153.0
126901,2024,Brockville,Apartment structures of six units and over,One bedroom units,1031.0
126902,2024,Brockville,Apartment structures of six units and over,Two bedroom units,1234.0
126903,2024,Brockville,Apartment structures of six units and over,Three bedroom units,1187.0
126905,2024,Centre Wellington,Row and apartment structures of three units and over,One bedroom units,1172.0
126906,2024,Centre Wellington,Row and apartment structures of three units and over,Two bedroom units,1442.0
126907,2024,Centre Wellington,Row and apartment structures of three units and over,Three bedroom units,1419.0
126913,2024,Centre Wellington,Apartment structures of three units and over,One bedroom units,1172.0
126914,2024,Centre Wellington,Apartment structures of three units and over,Two bedroom units,1442.0
126915,2024,Centre Wellington,Apartment structures of three units and over,Three bedroom units,1419.0
126917,2024,Centre Wellington,Apartment structures of six units and over,One bedroom units,1296.0
126918,2024,Centre Wellington,Apartment structures of six units and over,Two bedroom units,1479.0
126919,2024,Centre Wellington,Apartment structures of six units and over,Three bedroom units,1419.0
126920,2024,Chatham-Kent,Row and apartment structures of three units and over,Bachelor units,943.0
126921,2024,Chatham-Kent,Row and apartment structures of three units and over,One bedroom units,1119.0
126922,2024,Chatham-Kent,Row and apartment structures of three units and over,Two bedroom units,1245.0
126923,2024,Chatham-Kent,Row and apartment structures of three units and over,Three bedroom units,990.0
126926,2024,Chatham-Kent,Row structures of three units and over,Two bedroom units,946.0
126927,2024,Chatham-Kent,Row structures of three units and over,Three bedroom units,1074.0
126928,2024,Chatham-Kent,Apartment structures of three units and over,Bachelor units,979.0
126929,2024,Chatham-Kent,Apartment structures of three units and over,One bedroom units,1120.0
126930,2024,Chatham-Kent,Apartment structures of three units and over,Two bedroom units,1266.0
126931,2024,Chatham-Kent,Apartment structures of three units and over,Three bedroom units,980.0
126932,2024,Chatham-Kent,Apartment structures of six units and over,Bachelor units,979.0
126933,2024,Chatham-Kent,Apartment structures of six units and over,One bedroom units,1149.0
126934,2024,Chatham-Kent,Apartment structures of six units and over,Two bedroom units,1286.0
126937,2024,Cobourg,Row and apartment structures of three units and over,One bedroom units,1297.0
126938,2024,Cobourg,Row and apartment structures of three units and over,Two bedroom units,1531.0
126939,2024,Cobourg,Row and apartment structures of three units and over,Three bedroom units,1726.0
126944,2024,Cobourg,Apartment structures of three units and over,Bachelor units,1019.0
126945,2024,Cobourg,Apartment structures of three units and over,One bedroom units,1359.0
126946,2024,Cobourg,Apartment structures of three units and over,Two bedroom units,1542.0
126947,2024,Cobourg,Apartment structures of three units and over,Three bedroom units,1726.0
126948,2024,Cobourg,Apartment structures of six units and over,Bachelor units,1019.0
126949,2024,Cobourg,Apartment structures of six units and over,One bedroom units,1359.0
126950,2024,Cobourg,Apartment structures of six units and over,Two bedroom units,1596.0
126951,2024,Cobourg,Apartment structures of six units and over,Three bedroom units,1726.0
126953,2024,Collingwood,Row and apartment structures of three units and over,One bedroom units,1309.0
126954,2024,Collingwood,Row and apartment structures of three units and over,Two bedroom units,1539.0
126961,2024,Collingwood,Apartment structures of three units and over,One bedroom units,1309.0
126962,2024,Collingwood,Apartment structures of three units and over,Two bedroom units,1539.0
126965,2024,Collingwood,Apartment structures of six units and over,One bedroom units,1415.0
126966,2024,Collingwood,Apartment structures of six units and over,Two bedroom units,1532.0
126968,2024,Cornwall,Row and apartment structures of three units and over,Bachelor units,873.0
126969,2024,Cornwall,Row and apartment structures of three units and over,One bedroom units,920.0
126970,2024,Cornwall,Row and apartment structures of three units and over,Two bedroom units,1140.0
126971,2024,Cornwall,Row and apartment structures of three units and over,Three bedroom units,1156.0
126974,2024,Cornwall,Row structures of three units and over,Two bedroom units,1064.0
126976,2024,Cornwall,Apartment structures of three units and over,Bachelor units,873.0
126977,2024,Cornwall,Apartment structures of three units and over,One bedroom units,916.0
126978,2024,Cornwall,Apartment structures of three units and over,Two bedroom units,1142.0
126979,2024,Cornwall,Apartment structures of three units and over,Three bedroom units,1168.0
126980,2024,Cornwall,Apartment structures of six units and over,Bachelor units,969.0
126981,2024,Cornwall,Apartment structures of six units and over,One bedroom units,1030.0
126982,2024,Cornwall,Apartment structures of six units and over,Two bedroom units,1195.0
126983,2024,Cornwall,Apartment structures of six units and over,Three bedroom units,1610.0
126985,2024,Elliot Lake,Row and apartment structures of three units and over,One bedroom units,728.0
126986,2024,Elliot Lake,Row and apartment structures of three units and over,Two bedroom units,805.0
126987,2024,Elliot Lake,Row and apartment structures of three units and over,Three bedroom units,880.0
126990,2024,Elliot Lake,Row structures of three units and over,Two bedroom units,878.0
126991,2024,Elliot Lake,Row structures of three units and over,Three bedroom units,857.0
126993,2024,Elliot Lake,Apartment structures of three units and over,One bedroom units,728.0
126994,2024,Elliot Lake,Apartment structures of three units and over,Two bedroom units,804.0
126995,2024,Elliot Lake,Apartment structures of three units and over,Three bedroom units,915.0
126997,2024,Elliot Lake,Apartment structures of six units and over,One bedroom units,728.0
126998,2024,Elliot Lake,Apartment structures of six units and over,Two bedroom units,804.0
126999,2024,Elliot Lake,Apartment structures of six units and over,Three bedroom units,915.0
127016,2024,Essex,Row and apartment structures of three units and over,Bachelor units,0.0
127017,2024,Essex,Row and apartment structures of three units and over,One bedroom units,0.0
127018,2024,Essex,Row and apartment structures of three units and over,Two bedroom units,0.0
127019,2024,Essex,Row and apartment structures of three units and over,Three bedroom units,0.0
127020,2024,Essex,Row structures of three units and over,Bachelor units,0.0
127021,2024,Essex,Row structures of three units and over,One bedroom units,0.0
127022,2024,Essex,Row structures of three units and over,Two bedroom units,0.0
127023,2024,Essex,Row structures of three units and over,Three bedroom units,0.0
127024,2024,Essex,Apartment structures of three units and over,Bachelor units,0.0
127025,2024,Essex,Apartment structures of three units and over,One bedroom units,0.0
127026,2024,Essex,Apartment structures of three units and over,Two bedroom units,0.0
127027,2024,Essex,Apartment structures of three units and over,Three bedroom units,0.0
127028,2024,Essex,Apartment structures of six units and over,Bachelor units,0.0
127029,2024,Essex,Apartment structures of six units and over,One bedroom units,0.0
127030,2024,Essex,Apartment structures of six units and over,Two bedroom units,0.0
127031,2024,Essex,Apartment structures of six units and over,Three bedroom units,0.0
127033,2024,Gravenhurst,Row and apartment structures of three units and over,One bedroom units,1048.0
127034,2024,Gravenhurst,Row and apartment structures of three units and over,Two bedroom units,1340.0
127041,2024,Gravenhurst,Apartment structures of three units and over,One bedroom units,1048.0
127042,2024,Gravenhurst,Apartment structures of three units and over,Two bedroom units,1340.0
127045,2024,Gravenhurst,Apartment structures of six units and over,One bedroom units,1048.0
127046,2024,Gravenhurst,Apartment structures of six units and over,Two bedroom units,1340.0
127049,2024,Greater Napanee,Row and apartment structures of three units and over,One bedroom units,1022.0
127050,2024,Greater Napanee,Row and apartment structures of three units and over,Two bedroom units,1296.0
127057,2024,Greater Napanee,Apartment structures of three units and over,One bedroom units,1022.0
127058,2024,Greater Napanee,Apartment structures of three units and over,Two bedroom units,1264.0
127061,2024,Greater Napanee,Apartment structures of six units and over,One bedroom units,920.0
127062,2024,Greater Napanee,Apartment structures of six units and over,Two bedroom units,1270.0
127064,2024,Greater Sudbury,Row and apartment structures of three units and over,Bachelor units,869.0
127065,2024,Greater Sudbury,Row and apartment structures of three units and over,One bedroom units,1137.0
127066,2024,Greater Sudbury,Row and apartment structures of three units and over,Two bedroom units,1446.0
127067,2024,Greater Sudbury,Row and apartment structures of three units and over,Three bedroom units,1673.0
127069,2024,Greater Sudbury,Row structures of three units and over,One bedroom units,1126.0
127070,2024,Greater Sudbury,Row structures of three units and over,Two bedroom units,1256.0
127071,2024,Greater Sudbury,Row structures of three units and over,Three bedroom units,1528.0
127072,2024,Greater Sudbury,Apartment structures of three units and over,Bachelor units,869.0
127073,2024,Greater Sudbury,Apartment structures of three units and over,One bedroom units,1137.0
127074,2024,Greater Sudbury,Apartment structures of three units and over,Two bedroom units,1462.0
127075,2024,Greater Sudbury,Apartment structures of three units and over,Three bedroom units,1840.0
127076,2024,Greater Sudbury,Apartment structures of six units and over,Bachelor units,941.0
127077,2024,Greater Sudbury,Apartment structures of six units and over,One bedroom units,1235.0
127078,2024,Greater Sudbury,Apartment structures of six units and over,Two bedroom units,1487.0
127079,2024,Greater Sudbury,Apartment structures of six units and over,Three bedroom units,1843.0
127080,2024,Guelph,Row and apartment structures of three units and over,Bachelor units,1269.0
127081,2024,Guelph,Row and apartment structures of three units and over,One bedroom units,1598.0
127082,2024,Guelph,Row and apartment structures of three units and over,Two bedroom units,1736.0
127083,2024,Guelph,Row and apartment structures of three units and over,Three bedroom units,1935.0
127086,2024,Guelph,Row structures of three units and over,Two bedroom units,1624.0
127087,2024,Guelph,Row structures of three units and over,Three bedroom units,1935.0
127088,2024,Guelph,Apartment structures of three units and over,Bachelor units,1271.0
127089,2024,Guelph,Apartment structures of three units and over,One bedroom units,1598.0
127090,2024,Guelph,Apartment structures of three units and over,Two bedroom units,1740.0
127091,2024,Guelph,Apartment structures of three units and over,Three bedroom units,1935.0
127092,2024,Guelph,Apartment structures of six units and over,Bachelor units,1323.0
127093,2024,Guelph,Apartment structures of six units and over,One bedroom units,1603.0
127094,2024,Guelph,Apartment structures of six units and over,Two bedroom units,1741.0
127095,2024,Guelph,Apartment structures of six units and over,Three bedroom units,1966.0
127097,2024,Haldimand County,Row and apartment structures of three units and over,One bedroom units,1529.0
127098,2024,Haldimand County,Row and apartment structures of three units and over,Two bedroom units,1471.0
127105,2024,Haldimand County,Apartment structures of three units and over,One bedroom units,1529.0
127106,2024,Haldimand County,Apartment structures of three units and over,Two bedroom units,1471.0
127109,2024,Haldimand County,Apartment structures of six units and over,One bedroom units,1529.0
127112,2024,Hamilton,Row and apartment structures of three units and over,Bachelor units,1035.0
127113,2024,Hamilton,Row and apartment structures of three units and over,One bedroom units,1413.0
127114,2024,Hamilton,Row and apartment structures of three units and over,Two bedroom units,1636.0
127115,2024,Hamilton,Row and apartment structures of three units and over,Three bedroom units,1851.0
127117,2024,Hamilton,Row structures of three units and over,One bedroom units,1418.0
127118,2024,Hamilton,Row structures of three units and over,Two bedroom units,1736.0
127119,2024,Hamilton,Row structures of three units and over,Three bedroom units,1686.0
127120,2024,Hamilton,Apartment structures of three units and over,Bachelor units,1034.0
127121,2024,Hamilton,Apartment structures of three units and over,One bedroom units,1413.0
127122,2024,Hamilton,Apartment structures of three units and over,Two bedroom units,1632.0
127123,2024,Hamilton,Apartment structures of three units and over,Three bedroom units,1938.0
127124,2024,Hamilton,Apartment structures of six units and over,Bachelor units,1115.0
127125,2024,Hamilton,Apartment structures of six units and over,One bedroom units,1420.0
127126,2024,Hamilton,Apartment structures of six units and over,Two bedroom units,1639.0
127127,2024,Hamilton,Apartment structures of six units and over,Three bedroom units,1933.0
127128,2024,Hawkesbury,Row and apartment structures of three units and over,Bachelor units,682.0
127129,2024,Hawkesbury,Row and apartment structures of three units and over,One bedroom units,722.0
127130,2024,Hawkesbury,Row and apartment structures of three units and over,Two bedroom units,915.0
127131,2024,Hawkesbury,Row and apartment structures of three units and over,Three bedroom units,1553.0
127133,2024,Hawkesbury,Row structures of three units and over,One bedroom units,687.0
127134,2024,Hawkesbury,Row structures of three units and over,Two bedroom units,885.0
127135,2024,Hawkesbury,Row structures of three units and over,Three bedroom units,1004.0
127136,2024,Hawkesbury,Apartment structures of three units and over,Bachelor units,684.0
127137,2024,Hawkesbury,Apartment structures of three units and over,One bedroom units,724.0
127138,2024,Hawkesbury,Apartment structures of three units and over,Two bedroom units,916.0
127139,2024,Hawkesbury,Apartment structures of three units and over,Three bedroom units,1725.0
127141,2024,Hawkesbury,Apartment structures of six units and over,One bedroom units,709.0
127142,2024,Hawkesbury,Apartment structures of six units and over,Two bedroom units,1013.0
127145,2024,Huntsville,Row and apartment structures of three units and over,One bedroom units,1294.0
127146,2024,Huntsville,Row and apartment structures of three units and over,Two bedroom units,1405.0
127153,2024,Huntsville,Apartment structures of three units and over,One bedroom units,1294.0
127154,2024,Huntsville,Apartment structures of three units and over,Two bedroom units,1403.0
127157,2024,Huntsville,Apartment structures of six units and over,One bedroom units,1338.0
127158,2024,Huntsville,Apartment structures of six units and over,Two bedroom units,1428.0
127161,2024,Ingersoll,Row and apartment structures of three units and over,One bedroom units,1097.0
127162,2024,Ingersoll,Row and apartment structures of three units and over,Two bedroom units,1110.0
127166,2024,Ingersoll,Row structures of three units and over,Two bedroom units,1080.0
127169,2024,Ingersoll,Apartment structures of three units and over,One bedroom units,1107.0
127170,2024,Ingersoll,Apartment structures of three units and over,Two bedroom units,1130.0
127173,2024,Ingersoll,Apartment structures of six units and over,One bedroom units,1107.0
127174,2024,Ingersoll,Apartment structures of six units and over,Two bedroom units,1130.0
127176,2024,Kawartha Lakes,Row and apartment structures of three units and over,Bachelor units,812.0
127177,2024,Kawartha Lakes,Row and apartment structures of three units and over,One bedroom units,1236.0
127178,2024,Kawartha Lakes,Row and apartment structures of three units and over,Two bedroom units,1485.0
127184,2024,Kawartha Lakes,Apartment structures of three units and over,Bachelor units,812.0
127185,2024,Kawartha Lakes,Apartment structures of three units and over,One bedroom units,1236.0
127186,2024,Kawartha Lakes,Apartment structures of three units and over,Two bedroom units,1468.0
127188,2024,Kawartha Lakes,Apartment structures of six units and over,Bachelor units,792.0
127189,2024,Kawartha Lakes,Apartment structures of six units and over,One bedroom units,1233.0
127190,2024,Kawartha Lakes,Apartment structures of six units and over,Two bedroom units,1555.0
127193,2024,Kenora,Row and apartment structures of three units and over,One bedroom units,968.0
127194,2024,Kenora,Row and apartment structures of three units and over,Two bedroom units,1190.0
127201,2024,Kenora,Apartment structures of three units and over,One bedroom units,968.0
127202,2024,Kenora,Apartment structures of three units and over,Two bedroom units,1190.0
127205,2024,Kenora,Apartment structures of six units and over,One bedroom units,1007.0
127210,2024,Kincardine,Row and apartment structures of three units and over,Two bedroom units,1254.0
127218,2024,Kincardine,Apartment structures of three units and over,Two bedroom units,1254.0
127226,2024,Kings Subdivision,Row and apartment structures of three units and over,Two bedroom units,1071.0
127234,2024,Kings Subdivision,Apartment structures of three units and over,Two bedroom units,1063.0
127238,2024,Kings Subdivision,Apartment structures of six units and over,Two bedroom units,914.0
127240,2024,Kingston,Row and apartment structures of three units and over,Bachelor units,1058.0
127241,2024,Kingston,Row and apartment structures of three units and over,One bedroom units,1406.0
127242,2024,Kingston,Row and apartment structures of three units and over,Two bedroom units,1674.0
127243,2024,Kingston,Row and apartment structures of three units and over,Three bedroom units,2305.0
127247,2024,Kingston,Row structures of three units and over,Three bedroom units,1985.0
127248,2024,Kingston,Apartment structures of three units and over,Bachelor units,1064.0
127249,2024,Kingston,Apartment structures of three units and over,One bedroom units,1406.0
127250,2024,Kingston,Apartment structures of three units and over,Two bedroom units,1676.0
127252,2024,Kingston,Apartment structures of six units and over,Bachelor units,1071.0
127253,2024,Kingston,Apartment structures of six units and over,One bedroom units,1420.0
127254,2024,Kingston,Apartment structures of six units and over,Two bedroom units,1698.0
127255,2024,Kingston,Apartment structures of six units and over,Three bedroom units,1827.0
127256,2024,Kitchener-Cambridge-Waterloo,Row and apartment structures of three units and over,Bachelor units,1250.0
127257,2024,Kitchener-Cambridge-Waterloo,Row and apartment structures of three units and over,One bedroom units,1499.0
127258,2024,Kitchener-Cambridge-Waterloo,Row and apartment structures of three units and over,Two bedroom units,1747.0
127259,2024,Kitchener-Cambridge-Waterloo,Row and apartment structures of three units and over,Three bedroom units,1789.0
127261,2024,Kitchener-Cambridge-Waterloo,Row structures of three units and over,One bedroom units,1533.0
127262,2024,Kitchener-Cambridge-Waterloo,Row structures of three units and over,Two bedroom units,1442.0
127263,2024,Kitchener-Cambridge-Waterloo,Row structures of three units and over,Three bedroom units,1577.0
127264,2024,Kitchener-Cambridge-Waterloo,Apartment structures of three units and over,Bachelor units,1270.0
127265,2024,Kitchener-Cambridge-Waterloo,Apartment structures of three units and over,One bedroom units,1498.0
127266,2024,Kitchener-Cambridge-Waterloo,Apartment structures of three units and over,Two bedroom units,1766.0
127267,2024,Kitchener-Cambridge-Waterloo,Apartment structures of three units and over,Three bedroom units,1913.0
127268,2024,Kitchener-Cambridge-Waterloo,Apartment structures of six units and over,Bachelor units,1270.0
127269,2024,Kitchener-Cambridge-Waterloo,Apartment structures of six units and over,One bedroom units,1499.0
127270,2024,Kitchener-Cambridge-Waterloo,Apartment structures of six units and over,Two bedroom units,1768.0
127271,2024,Kitchener-Cambridge-Waterloo,Apartment structures of six units and over,Three bedroom units,1926.0
127274,2024,Lambton Shores,Row and apartment structures of three units and over,Two bedroom units,1314.0
127282,2024,Lambton Shores,Apartment structures of three units and over,Two bedroom units,1314.0
127286,2024,Lambton Shores,Apartment structures of six units and over,Two bedroom units,1314.0
127288,2024,Leamington,Row and apartment structures of three units and over,Bachelor units,0.0
127289,2024,Leamington,Row and apartment structures of three units and over,One bedroom units,0.0
127290,2024,Leamington,Row and apartment structures of three units and over,Two bedroom units,0.0
127291,2024,Leamington,Row and apartment structures of three units and over,Three bedroom units,0.0
127292,2024,Leamington,Row structures of three units and over,Bachelor units,0.0
127293,2024,Leamington,Row structures of three units and over,One bedroom units,0.0
127294,2024,Leamington,Row structures of three units and over,Two bedroom units,0.0
127295,2024,Leamington,Row structures of three units and over,Three bedroom units,0.0
127296,2024,Leamington,Apartment structures of three units and over,Bachelor units,0.0
